feature,importance_split,importance_gain
duration,65870,17657406.11186464
balance,70472,2632060.3487787545
month,14116,2236676.860545248
contact,7333,1702858.214407459
day,51371,1068521.5463895947
housing,2833,916540.8354744613
poutcome,1201,897833.878513515
pdays,31027,855035.0119495541
age,53382,813239.7726733983
job,12445,467351.2811320126
campaign,25725,459666.4493878633
previous,14163,281688.9188464731
loan,3503,243487.71198645234
marital,3584,194934.90247631073
education,2379,99215.55057090521
default,302,16118.16881096363
